127.0.0.1 - - [15/Dec/2017:01:28:50 +0100] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:29:01 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:29:01 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:29:06 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:29:11 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:29:16 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:29:21 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:31:56 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:31:56 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:32:01 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:32:06 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:32:11 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:32:17 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:32:22 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:32:27 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:32:53 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:32:53 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:32:58 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:33:03 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Dec/2017:01:33:08 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 50
