127.0.0.1 - - [20/Dec/2016:18:58:52 +0100] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [20/Dec/2016:18:59:18 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [20/Dec/2016:18:59:18 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Dec/2016:18:59:24 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Dec/2016:18:59:30 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Dec/2016:18:59:36 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [20/Dec/2016:19:02:25 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [20/Dec/2016:19:02:25 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Dec/2016:19:02:30 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Dec/2016:19:02:36 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 224
