0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:03:48 +0100] "GET /cardioSHARE/resources/props.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:04:35 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:04:35 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:04:40 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:04:45 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:44:39 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:44:39 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:44:45 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:44:50 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:44:50 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:44:55 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:45:10 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:45:10 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:45:15 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:46:23 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:46:23 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Jan/2017:17:46:28 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 165
