127.0.0.1 - - [05/Dec/2016:18:17:49 +0100] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:22:50 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:22:50 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:22:55 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:00 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:05 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:10 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:15 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:20 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:25 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:30 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:35 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:40 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:46 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:23:51 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
