127.0.0.1 - - [02/Jul/2017:20:18:13 +0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [02/Jul/2017:20:18:38 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [02/Jul/2017:20:18:38 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Jul/2017:20:18:43 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Jul/2017:20:18:48 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Jul/2017:20:18:53 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Jul/2017:20:18:58 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Jul/2017:20:19:03 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [02/Jul/2017:21:31:46 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [02/Jul/2017:21:31:47 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 160
